"CODE_NUM,N,5,0","BARCODE,N,12,0","BARCODE2,C,1","BRAND,C,32","DESCRIP,C,69","TYPE,N,2,0","SIZE,C,18","COST,N,9,4","LAST_COST,N,9,4","NEXT_COST,C,7","COST_2,C,6","COST_3,C,1","PRICE,N,10,4","MIN_PRICE,C,5","QTY_ON_HND,C,5","WAREHOUSE1,C,2","WAREHOUSE2,C,1","QTY_ON_RSV,C,1","QTY_ON_ORD,C,5","QTY_CASE,N,3,0","DIST,C,2","DIVI,C,1","SALESMAN,C,1","LAST_ORD,C,10","LAST_RCV,C,10","COST_DATE,C,10","SALES,C,10","P,C,3","P_PRICE,C,2","REORDER,C,2","LAST_EDIT,C,10","LAST_SALE,D","FIRST,N,10,0","SECON,N,10,0","THIRD,N,1,0","FOURT,N,1,0","FIFTH,N,1,0","SIXTH,N,1,0","SEVEN,N,1,0","EIGHT,N,2,0","NINTH,N,2,0","TENTH,N,1,0","ELEVE,N,2,0","TWELV,N,2,0","PRIORY,C,4","MTD,N,2,0","YTD,C,5","TWOFER,C,2","TWOFER_AMT,C,5","TAXABLE,C,1","START_PROM,C,1","END_PROM,C,1","BIN,C,5","DEPOSIT,C,1","DEP_AMT,C,1","THRFER,C,2","THRFER_AMT,C,5","CASE_PRICE,C,7","STD_QTY,N,1,0","PRINT_BAR,C,1","TAXRATE,C,1","TAXABLE2,C,1","TAXRATE2,C,1","SCRIPT_YN,C,1","FLAT_TAX,C,1","SHELF_CAP,C,1","QTY_SHELF,C,3","INTNUM,N,14,3","CLASS,C,7","VENDNUM,N,7,0","PAR_QTY,C,3","PRICE_B,C,5","PRICE_C,C,1","PRICE_D,C,1","PRICE_E,C,1","PRICE_F,C,1","PRICE_G,C,1","PRICE_H,C,1","PRICE_I,C,1","PRICE_J,C,1","DEP_B,C,1","DEP_C,C,1","CASE_B,C,1","CASE_C,C,1","CASE_D,C,1","CASE_E,C,1","CASE_F,C,1","CASE_G,C,1","CASE_H,C,1","CASE_I,C,1","CASE_J,C,1","USER1,C,1","USER2,C,1","DISC_OK,C,1","ORDER_LOT,C,1","DEP_ORD,C,1","DEP_ORDAMT,C,1","NOTES,C,1","NOTE2,C,1","DISCPOOL,C,1","BMP,C,1","HOCODE,C,1","POINTX,C,1","ITEMNOTE,C,1","USER1NAM,C,1","USER2NAM,C,1","VENDNAM,C,30","TYPENAM,C,30","TAXABLE3,C,22","TAXRATE3,C,9"
157,14974500091,,WOODCHUCK DRAFT CIDER,AMBER 6PK NR,60,12 OZ,6.4375,6.4375,,,,8.99,,,,,,,4,,,,,,,,,,,,09/26/2015,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,32.99,1,N,,Y,,N,,,,9015785,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,BEER,,
227,1667135,,ROSES,LIME JUICE,59,12 OZ,3.3317,3.3317,,,,5.99,,5,,,,6,6,,,,2025-06-21,2025-06-23,,91,,,,2025-06-21,07/07/2025,0,0,0,0,0,0,0,0,0,0,0,1,32,0,39,,,Y,,,,N,,,,,1,N,,N,,N,,,,9644472,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,MISC,,
229,1667339,,ROSES,LIME JUICE,59,1.0L,4.19,4.19,,,,5.99,,,,,,,12,,,,,,,,,,,,09/11/2010,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,N,,,,,1,N,,N,,N,,,,9004797,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,MISC,,
230,1667436,,ROSES,GRENDINE,59,12 OZ,3.3317,3.3317,,,,5.99,,2,,,,6,6,,,,2025-06-21,2025-06-23,,118,,,,2025-04-26,07/04/2025,0,0,0,0,0,0,0,0,0,0,0,0,45,0,53,,,Y,,,,N,,,,,1,N,,N,,N,,,,9644449,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,MISC,,
238,17444000206,,PEPPERWOOD GROVE,CHARDONNAY,8,.750L,5.3342,0,,,,7.99,,,,,,,12,,,,,,,,,,,,12/24/2010,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,0,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,WINE-DOMESTIC,,
239,17444000220,,PEPPERWOOD GROVE,PINOT NOIR,8,.750L,5.3342,0,,,,7.99,,,,,,,12,,,,,,,,,,,,12/24/2010,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,790744,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,WINE-DOMESTIC,,
240,17444000244,,PEPPERWOOD GROVE,SAUVIGNON BLANC,7,.750L,0,0,,,,7.79,,,,,,,12,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,N,,,,,1,N,,N,,N,,,,790784,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,CIGARS,,
241,17444000299,,PEPPERWOOD GROVE,VIOGNIER,0,,0,0,,,,7.79,,,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,,,,,,0,,,N,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
242,17444000305,,PEPPERWOOD GROVE,PINOT GRIGIO,7,.750L,0,0,,,,7.79,,,,,,,12,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,N,,,,,1,N,,N,,N,,,,790674,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,CIGARS,,
244,17444000725,,SMOKING LOON,MERLOT WW-4,8,.750L,5.9942,5.9942,,,,9.99,,,,,,,12,,,,,,,,,,,,03/29/2013,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,WW-4,N,,,,,1,N,,Y,,N,,,,800234,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,WINE-DOMESTIC,,
